Operation	Max(MiB)	Min(MiB)	Mean(MiB)	StdDev	Mean(s)	Test	Tasks	tPN	reps	fPP	reord	reordoff	reordrand	seed	segcnt	blksiz	xsize	aggsize	API	RefNum
write	1.77	1.46	1.63	0.09	0.15387	0	1	1	10	1	0	1	0	0	1	262144	4096	262144	IOD	0
read	4.52	3.64	4.33	0.25	0.05793	0	1	1	10	1	1	1	0	0	1	262144	4096	262144	IOD	0
write	0.21	0.19	0.20	0.01	1.27117	0	1	1	10	1	0	1	0	0	1	262144	4096	262144	IOD	0
read	2.93	2.93	2.93	0.00	0.08545	0	1	1	1	1	0	1	0	0	1	262144	4096	262144	IOD	0
write	3.31	1.54	2.90	0.54	0.18150	0	2	1	10	1	0	1	0	0	1	262144	4096	524288	IOD	0
read	8.98	6.54	7.67	0.71	0.06574	0	2	1	10	1	1	1	0	0	1	262144	4096	524288	IOD	0
write	0.47	0.30	0.39	0.04	1.29578	0	2	1	10	1	0	1	0	0	1	262144	4096	524288	IOD	0
read	6.35	6.35	6.35	0.00	0.07874	0	2	1	1	1	0	1	0	0	1	262144	4096	524288	IOD	0
write	6.38	4.51	5.46	0.59	0.18540	0	4	1	10	1	0	1	0	0	1	262144	4096	1048576	IOD	0
read	15.32	11.72	14.22	1.19	0.07085	0	4	1	10	1	1	1	0	0	1	262144	4096	1048576	IOD	0
write	1.41	0.77	0.86	0.19	1.20268	0	4	1	10	1	0	1	0	0	1	262144	4096	1048576	IOD	0
read	12.30	12.30	12.30	0.00	0.08132	0	4	1	1	1	0	1	0	0	1	262144	4096	1048576	IOD	0
write	9.88	4.17	7.74	1.64	0.27404	0	8	1	10	1	0	1	0	0	1	262144	4096	2097152	IOD	0
read	29.29	20.60	25.70	2.73	0.07876	0	8	1	10	1	1	1	0	0	1	262144	4096	2097152	IOD	0
write	1.73	1.12	1.52	0.17	1.33207	0	8	1	10	1	0	1	0	0	1	262144	4096	2097152	IOD	0
read	19.05	19.05	19.05	0.00	0.10496	0	8	1	1	1	0	1	0	0	1	262144	4096	2097152	IOD	0
write	14.67	11.02	12.91	1.12	0.31219	0	16	1	10	1	0	1	0	0	1	262144	4096	4194304	IOD	0
read	52.75	32.37	39.66	6.03	0.10303	0	16	1	10	1	1	1	0	0	1	262144	4096	4194304	IOD	0
write	5.18	1.75	2.98	0.87	1.44441	0	16	1	10	1	0	1	0	0	1	262144	4096	4194304	IOD	0
read	29.65	29.65	29.65	0.00	0.13489	0	16	1	1	1	0	1	0	0	1	262144	4096	4194304	IOD	0
write	21.08	15.85	18.60	1.75	0.43414	0	32	1	10	1	0	1	0	0	1	262144	4096	8388608	IOD	0
read	61.60	42.64	50.05	6.87	0.16269	0	32	1	10	1	1	1	0	0	1	262144	4096	8388608	IOD	0
write	6.76	4.62	6.26	0.58	1.29142	0	32	1	10	1	0	1	0	0	1	262144	4096	8388608	IOD	0
read	32.16	32.16	32.16	0.00	0.24873	0	32	1	1	1	0	1	0	0	1	262144	4096	8388608	IOD	0
write	28.16	15.85	23.56	3.60	0.69842	0	64	2	10	1	0	1	0	0	1	262144	4096	16777216	IOD	0
read	74.77	50.92	66.94	6.82	0.24188	0	64	2	10	1	1	1	0	0	1	262144	4096	16777216	IOD	0
write	13.38	6.77	11.55	2.05	1.44780	0	64	2	10	1	0	1	0	0	1	262144	4096	16777216	IOD	0
read	50.64	50.64	50.64	0.00	0.31595	0	64	2	1	1	0	1	0	0	1	262144	4096	16777216	IOD	0
write	30.99	10.43	23.07	6.91	1.58463	0	128	4	10	1	0	1	0	0	1	262144	4096	33554432	IOD	0
read	84.14	51.15	67.33	10.04	0.48646	0	128	4	10	1	1	1	0	0	1	262144	4096	33554432	IOD	0
write	14.06	7.20	13.04	1.96	2.54918	0	128	4	10	1	0	1	0	0	1	262144	4096	33554432	IOD	0
read	45.51	45.51	45.51	0.00	0.70313	0	128	4	1	1	0	1	0	0	1	262144	4096	33554432	IOD	0
write	32.46	17.51	24.99	3.89	2.62776	0	256	8	10	1	0	1	0	0	1	262144	4096	67108864	IOD	0
read	84.90	53.34	77.03	8.74	0.84485	0	256	8	10	1	1	1	0	0	1	262144	4096	67108864	IOD	0
write	23.37	8.23	16.93	4.89	4.18882	0	256	8	10	1	0	1	0	0	1	262144	4096	67108864	IOD	0
read	62.25	62.25	62.25	0.00	1.02812	0	256	8	1	1	0	1	0	0	1	262144	4096	67108864	IOD	0
